,index,Cotacao,Cresc.5anos,DY,Div.Brut/Pat.,EV/EBIT,EV/EBITDA,Liq.2meses,Liq.Corr.,Mrg.Ebit,Mrg.Liq.,P/ACL,P/Ativo,P/Cap.Giro,P/EBIT,P/L,P/VP,PSR,Pat.Liq,ROE,ROIC,change,closingPrice,eps,high,lastPrice,lastYearHigh,lastYearLow,low,marketCap,name,pe,priceOpen,shares,volume,volumeAvg,sector,subSector,segment
68,BRAP4,68.15,0.0,0.0799,0.0,-1101.91,-1101.91,173914000.0,1.09,0.0,0.0,241.11,1.774,223.31,-1162.79,7.62,1.95,0.0,12164200000.0,0.256,-0.0017,1.0,68.15,8.95,69.11,68.83,77.89,35.08,67.8,22672322215,Bradespar SA Preference Shares,7.71,68.15,225862596,879300,2272076,Materiais Básicos,Mineração,Minerais Metálicos
69,BRDT3,27.58,-0.0061,0.0902,0.78,15.08,12.42,216087000.0,3.13,0.0292,0.0482,-17.19,1.098,3.22,12.73,7.72,2.53,0.372,12700000000.0,0.3278,0.106,-0.73,27.58,3.57,27.51,27.38,28.09,18.2,27.1,31886050977,Petrobras Distribuidora SA,7.66,27.51,1165000000,2462200,8918026,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição
70,BRFS3,28.83,0.0458,0.0,2.9,13.32,7.16,367056000.0,1.51,0.0703,0.0353,-1.25,0.456,2.84,8.11,16.11,2.82,0.57,8299810000.0,0.1752,0.0932,-0.35,28.83,1.8,28.97,28.73,31.98,16.44,28.54,4680754764,BRF SA,15.99,28.89,812473246,1748500,16837356,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
71,BRGE11,9.09,-0.062,0.04,0.0,2.28,2.29,1129.45,3.4,-20.4602,2.5144,1.1,0.219,0.51,-1.67,19.81,0.54,34.082,1241560000.0,0.0272,-0.2733,0.0,9.09,0.46,0.0,9.09,29.5,7.15,0.0,626868003,Consorcio Alfa de Administracao SA Preference Shares Series E,19.81,0.0,6759345,0,93,Financeiro e Outros,Previdência e Seguros,Seguradoras
72,BRGE12,6.75,-0.062,0.0,0.0,2.71,2.72,2427.57,3.4,-20.4602,2.5144,0.82,0.163,0.38,-1.24,14.71,0.4,25.309,1241560000.0,0.0272,-0.2733,0.0,6.75,0.46,0.0,6.75,10.0,4.98,0.0,626868003,Consorcio Alfa de Administracao SA Preference Shares Series F,14.71,0.0,21717524,0,226,Financeiro e Outros,Previdência e Seguros,Seguradoras
73,BRGE3,9.25,-0.062,0.0,0.0,2.25,2.26,8084.86,3.4,-20.4602,2.5144,1.12,0.223,0.52,-1.7,20.15,0.55,34.682,1241560000.0,0.0272,-0.2733,-1.25,9.6,0.46,9.48,9.48,17.99,8.12,9.48,626868003,Consorcio Alfa de Administracao SA,20.66,9.48,40394932,200,1023,Financeiro e Outros,Previdência e Seguros,Seguradoras
74,BRGE5,10.2,-0.062,0.0,0.0,2.08,2.08,309.12,3.4,-20.4602,2.5144,1.24,0.246,0.58,-1.87,22.22,0.61,38.244,1241560000.0,0.0272,-0.2733,0.0,10.2,0.46,0.0,10.2,40.0,6.0,0.0,626868003,Consorcio Alfa de Administracao SA Preference Shares Series A,22.22,0.0,164936,0,6,Financeiro e Outros,Previdência e Seguros,Seguradoras
75,BRGE6,13.35,-0.062,0.0545,0.0,1.5,1.5,265.74,3.4,-20.4602,2.5144,1.62,0.322,0.76,-2.45,29.09,0.79,50.055,1241560000.0,0.0272,-0.2733,0.0,13.35,0.0,0.0,13.35,44.99,4.0,0.0,626868003,Consorcio Alfa De Administracao Series B Pref Shs,0.0,0.0,2330271,0,20,Financeiro e Outros,Previdência e Seguros,Seguradoras
76,BRGE8,9.75,-0.062,0.0311,0.0,2.16,2.17,1884.36,3.4,-20.4602,2.5144,1.18,0.235,0.55,-1.79,21.24,0.58,36.557,1241560000.0,0.0272,-0.2733,0.0,9.75,0.0,0.0,9.75,13.9,5.0,0.0,626868003,Consorcio Alfa De Administracao Series D Pref Shs,0.0,0.0,2059517,0,246,Financeiro e Outros,Previdência e Seguros,Seguradoras
77,BRIV3,10.15,0.3235,0.0005,0.0,0.0,0.0,17091.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.42,0.58,0.0,1546650000.0,0.0509,0.0,0.0,10.15,0.89,0.0,10.15,18.6,7.35,0.0,846267100,Banco Alfa de Investimento SA,11.42,0.0,53482129,0,1570,Financeiro e Outros,Intermediários Financeiros,Bancos
78,BRIV4,8.64,0.3235,0.067,0.0,0.0,0.0,24326.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.72,0.49,0.0,1546650000.0,0.0509,0.0,0.0,8.64,0.89,0.0,8.64,12.29,6.91,0.0,846267100,Banco Alfa de Investimento SA Preference Shares,9.72,0.0,35118455,0,3313,Financeiro e Outros,Intermediários Financeiros,Bancos
79,BRKM3,54.74,0.0785,0.0,97.94,5.27,4.04,1305960.0,1.19,0.1918,-0.0079,-0.78,0.464,6.96,3.32,-79.56,101.44,0.636,430211000.0,-1.2749,0.2057,-0.8,54.74,-0.69,55.05,54.3,60.55,19.65,54.2,8658122935,Braskem SA,0.0,54.5,451668652,6300,18903,Materiais Básicos,Químicos,Petroquímicos
80,BRKM5,55.11,0.0785,0.0,97.94,5.3,4.06,236883000.0,1.19,0.1918,-0.0079,-0.79,0.467,7.01,3.34,-80.1,102.12,0.64,430211000.0,-1.2749,0.2057,-1.45,55.11,-0.69,54.93,54.31,61.53,19.7,54.2,8658122935,Braskem SA Preference Shares Series A,0.0,54.54,345049672,600600,4233610,Materiais Básicos,Químicos,Petroquímicos
81,BRKM6,44.0,0.0785,0.0,97.94,4.62,3.54,4662.48,1.19,0.1918,-0.0079,-0.63,0.373,5.6,2.67,-63.95,81.54,0.511,430211000.0,-1.2749,0.2057,0.0,44.0,-0.69,0.0,44.0,44.0,14.0,0.0,8658122935,Braskem SA Preference Shares Series B,0.0,0.0,500230,0,86,Materiais Básicos,Químicos,Petroquímicos
82,BRML3,11.3,-0.0761,0.0,0.39,26.32,24.43,168688000.0,4.7,0.5384,-0.4661,-1.63,0.503,5.56,21.26,-27.72,0.91,11.446,10802900000.0,-0.0329,0.0263,-3.1,11.3,-0.42,11.19,10.95,12.03,7.78,10.86,9560897068,BR Malls Participacoes SA,0.0,11.16,873141333,10209500,15081090,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis
83,BRPR3,9.52,-0.083,0.0207,0.36,29.25,29.13,15370800.0,2.44,0.6942,0.6418,-1.69,0.423,7.8,21.07,22.79,0.64,14.626,7285270000.0,0.0282,0.0217,-2.0,9.52,0.42,9.52,9.33,11.15,7.6,9.31,4585790128,BR Properties SA,21.99,9.52,491510283,344400,1687113,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis
84,BRSR3,15.03,0.1018,0.0503,0.0,0.0,0.0,238217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.21,0.72,0.0,8579010000.0,0.0873,0.0,0.33,15.03,1.83,15.08,15.08,18.28,12.97,15.0,5893804809,Banco do Estado do Rio Grande do Sul SA,8.24,15.0,205064841,800,17376,Financeiro e Outros,Intermediários Financeiros,Bancos
85,BRSR5,19.02,0.1018,0.0518,0.0,0.0,0.0,19559.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.39,0.91,0.0,8579010000.0,0.0873,0.0,0.0,19.02,1.83,0.0,19.02,24.36,11.5,0.0,5893804809,Banco do Estado do Rio Grande do Sul A Pref Shs,10.39,0.0,1373091,0,623,Financeiro e Outros,Intermediários Financeiros,Bancos
86,BRSR6,14.17,0.1018,0.0533,0.0,0.0,0.0,23325100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.74,0.68,0.0,8579010000.0,0.0873,0.0,-1.13,14.17,1.83,14.11,14.01,15.48,11.59,13.59,5893804809,Banco do Estado do Rio Grande do Sul B Pref Shs,7.62,14.11,202536545,1178300,1719513,Financeiro e Outros,Intermediários Financeiros,Bancos
87,BSEV3,9.0,0.0712,0.0,-8.95,7.59,3.7,593533.0,0.39,0.2019,0.0158,-1.02,0.776,-1.59,4.4,56.31,-10.76,0.889,-853187000.0,-0.1912,0.2066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,#N/A,0.0,0.0,0,0,0,Consumo não Cíclico,Alimentos Processados,Açucar e Alcool
88,BSLI3,35.5,0.1163,0.0096,0.0,0.0,0.0,48521.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.06,6.24,0.0,2066940000.0,0.2222,0.0,-1.97,35.5,1.27,36.0,34.8,140.0,5.0,34.8,11829487180,BRB Banco de Brasilia SA,27.51,35.99,280146500,300,473,Financeiro e Outros,Intermediários Financeiros,Bancos
89,BSLI4,25.6,0.1163,0.0146,0.0,0.0,0.0,77975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.24,4.5,0.0,2066940000.0,0.2222,0.0,0.0,25.6,1.27,0.0,25.6,143.0,5.0,0.0,11829487180,BRB Banco de Brasilia SA Preference Shares,20.24,0.0,82900000,0,2506,Financeiro e Outros,Intermediários Financeiros,Bancos
90,BTOW3,70.49,0.0634,0.0,0.55,111.57,39.34,223714000.0,2.38,0.0293,-0.0234,18.56,2.012,5.44,118.42,-148.2,4.28,3.472,9231500000.0,-0.0289,0.0403,-2.11,70.49,-0.49,70.71,69.0,127.47,55.76,68.76,38662722090,B2W Companhia Digital,0.0,70.6,560085762,966500,2924473,Consumo Cíclico,Comércio,Produtos Diversos
91,BTTL3,20.19,0.3972,0.0,1.12,9.95,7.79,395854.0,1.17,0.0571,0.0511,-5.67,1.535,19.75,9.55,10.68,7.92,0.546,37891000.0,0.7412,0.2256,-0.43,16.32,1.87,16.77,16.25,23.79,5.27,16.05,0,#N/A,10.53,16.05,14860568,2600,28956,Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas
92,CAMB3,5.61,-0.1347,0.0,0.72,47.82,24.55,814097.0,0.93,0.043,0.1055,-2.97,0.859,-34.07,38.03,15.52,2.4,1.635,98809000.0,0.1547,0.0244,-0.18,5.61,0.0,5.67,5.6,6.44,3.81,5.53,237107100,Cambuci Ord Shs,0.0,5.53,42265080,17000,135100,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados
93,CAML3,9.8,0.1017,0.0625,0.87,8.14,6.38,13701800.0,2.38,0.0802,0.062,10.48,0.588,1.65,6.05,7.84,1.34,0.486,2708710000.0,0.1708,0.1368,-0.41,9.8,1.3,9.82,9.76,15.26,9.28,9.66,3611200084,Camil Alimentos SA,7.53,9.79,370000000,464100,1354540,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos
94,CARD3,23.75,-0.0055,0.0195,0.41,14.22,7.84,9011490.0,1.12,0.1581,0.1078,-11.98,1.841,58.7,13.46,19.75,3.28,2.128,302267000.0,0.1663,0.1709,-1.64,23.75,1.23,23.87,23.36,28.98,12.01,23.33,980627961,CSU Cardsystem SA,19.15,23.75,41800000,83900,305263,Bens Industriais,Serviços,Serviços Diversos
95,CASH3,45.22,0.0,0.0008,0.0,230.44,215.3,121189000.0,12.23,0.1635,0.1214,23.69,14.336,23.39,240.22,323.51,15.93,39.28,358922000.0,0.0492,0.1464,-0.71,45.22,0.18,46.13,44.9,46.13,8.97,44.35,5699595363,Meliuz SA,254.63,45.46,126433000,1231300,3212696,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
96,CBEE3,25.49,0.0797,0.0,1.29,38.39,12.03,40993.9,0.81,0.0343,0.0112,-0.83,0.359,-5.76,19.18,58.54,1.18,0.657,3603450000.0,0.0201,0.0214,-3.92,25.49,0.44,24.49,24.49,45.28,14.0,23.94,4080873968,Ampla Energia e Servicos SA,56.72,23.97,166634326,700,1326,Utilidade Pública,Energia Elétrica,Energia Elétrica
97,CCPR3,12.34,0.0295,0.0808,0.86,12.45,9.59,5552250.0,2.51,0.4979,0.2555,-1.32,0.389,6.71,7.97,45.53,1.15,3.967,1636110000.0,0.0253,0.0527,-1.7,12.34,0.27,12.38,12.13,16.91,10.21,12.12,1851576589,Cyrela Commercial Propertes SA Emp Partp,44.96,12.33,152644445,112300,432246,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis
98,CCRO3,13.98,0.0169,0.0196,2.29,14.15,7.6,154651000.0,1.16,0.2692,0.06,-1.63,0.819,25.53,9.57,47.84,3.29,2.578,8576580000.0,0.0688,0.1061,-3.08,13.98,0.29,13.87,13.55,15.9,10.31,13.54,27371000385,CCR SA,46.4,13.81,2020000000,2007600,9213273,Bens Industriais,Transporte,Exploração de Rodovias
99,CEAB3,15.31,-0.2089,0.0,0.48,-13.12,31.58,23448500.0,1.5,-0.0961,-0.0642,-3.62,0.694,4.75,-12.64,-18.91,1.87,1.215,2524430000.0,-0.0988,-0.0772,-3.85,15.31,-0.81,15.26,14.72,15.58,9.39,14.64,4537366482,C&A Modas SA,0.0,15.22,308245068,1103300,1586420,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados
100,CEBR3,186.15,0.0831,0.2072,0.0,1.55,1.62,577045.0,2.3,-0.2954,-4.8343,1.72,0.814,1.72,27.13,1.69,1.45,-8.014,1855710000.0,0.8542,0.133,3.62,186.15,109.95,192.88,192.88,229.52,51.0,192.88,2842923971,Companhia Energetica de Brasilia CEB,1.75,192.88,7184178,100,1966,Utilidade Pública,Energia Elétrica,Energia Elétrica
101,CEBR5,197.0,0.0831,0.2073,0.0,3.13,3.27,88037.1,2.3,-0.2954,-4.8343,1.82,0.862,1.82,28.71,1.79,1.53,-8.481,1855710000.0,0.8542,0.133,0.0,197.0,109.95,0.0,197.0,259.0,60.51,0.0,2842923971,Companhia Energetica de Brasilia CEB Preference Shares Series A,1.79,0.0,1313002,0,563,Utilidade Pública,Energia Elétrica,Energia Elétrica
102,CEBR6,193.9,0.0831,0.2188,0.0,2.68,2.8,247983.0,2.3,-0.2954,-4.8343,1.8,0.848,1.79,28.26,1.76,1.51,-8.348,1855710000.0,0.8542,0.133,0.0,193.9,109.95,0.0,193.9,238.0,50.0,0.0,2842923971,Companhia Energetica de Brasilia CEB Preference Shares Series B,1.76,0.0,5919203,0,840,Utilidade Pública,Energia Elétrica,Energia Elétrica
103,CEDO3,10.29,0.0546,0.0,1.64,8.0,5.49,60281.8,0.93,0.0575,-0.0472,-0.43,0.143,-4.42,2.67,-3.74,0.77,0.154,133689000.0,-0.2056,0.0662,1.17,10.29,-2.75,10.85,10.41,24.94,5.0,10.4,93242597,Cia De Fiacao E Tecidos Cedro Cachoeira,0.0,10.5,5707104,13700,5243,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
104,CEDO4,7.79,0.0546,0.0,1.64,7.35,5.04,395025.0,0.93,0.0575,-0.0472,-0.32,0.108,-3.35,2.02,-2.83,0.58,0.116,133689000.0,-0.2056,0.0662,1.41,7.79,-2.75,8.12,7.9,13.7,4.9,7.7,93242597,Cia De Fiacao E Tecidos Cedro Cachoeira Preference Shares,0.0,7.7,4292896,14500,47633,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
105,CEEB3,40.0,0.1255,0.0264,1.41,9.14,7.09,28424.0,1.41,0.1729,0.1078,-0.96,0.476,7.74,5.1,8.18,1.63,0.882,6424000000.0,0.1996,0.1016,0.0,40.0,4.89,0.0,40.0,45.0,35.15,0.0,6698928800,Companhia de Eletricidade do Estad da BC,8.18,0.0,151997609,0,220,Utilidade Pública,Energia Elétrica,Energia Elétrica
106,CEEB5,38.0,0.1255,0.0,1.41,8.88,6.89,663.1,1.41,0.1729,0.1078,-0.91,0.452,7.35,4.85,7.77,1.55,0.838,6424000000.0,0.1996,0.1016,0.0,38.0,4.89,0.0,38.0,55.0,35.08,0.0,6698928800,Companhia de Eletrecidade do Estado da Bahia COELBA Pref Shs,7.77,0.0,27220069,0,23,Utilidade Pública,Energia Elétrica,Energia Elétrica
107,CEED3,60.0,0.6369,0.0,-0.18,-5.32,-8.8,9972.33,0.61,-0.0806,-0.3558,-0.06,0.117,-0.69,-1.98,-0.45,-0.1,0.159,-5915240000.0,0.2194,-0.0706,-8.33,60.0,-134.04,55.0,55.0,88.0,37.0,55.0,4165233000,Companhia Estadual de Distribuicao,0.0,55.0,9516732,100,136,Utilidade Pública,Energia Elétrica,Energia Elétrica
108,CEED4,60.0,0.6369,0.0,-0.18,-5.32,-8.8,2705.12,0.61,-0.0806,-0.3558,-0.06,0.117,-0.69,-1.98,-0.45,-0.1,0.159,-5915240000.0,0.2194,-0.0706,0.0,60.0,-134.04,0.0,60.0,100.0,25.0,0.0,4165233000,Companhia Estadual de Distribuicao Preference Shares,0.0,0.0,164014,0,26,Utilidade Pública,Energia Elétrica,Energia Elétrica
109,CEGR3,61.0,0.0147,0.0,0.92,27.73,22.48,8353.38,1.3,0.1926,0.108,-11.99,4.627,82.75,26.32,46.94,12.49,5.07,1267820000.0,0.2661,0.2143,0.0,61.0,1.3,0.0,61.0,190.07,30.0,0.0,15837900000,Companhia Distribuidora d Gs d RdJnr CEG,46.94,0.0,259637732,0,40,Utilidade Pública,Gás,Gás
110,CEPE5,27.5,0.1006,0.1267,3.0,9.13,6.55,16560.1,1.29,0.1076,0.0388,-0.3,0.183,3.66,2.66,7.38,1.14,0.286,1792000000.0,0.1552,0.0762,0.0,27.5,3.72,0.0,27.5,45.0,5.0,0.0,8550519000,Companhia Energetica de Pernambuco A Pref Shs,7.39,0.0,7567254,0,546,Utilidade Pública,Energia Elétrica,Energia Elétrica
111,CEPE6,27.12,0.1006,0.1413,3.0,9.1,6.52,2523.1,1.29,0.1076,0.0388,-0.29,0.18,3.61,2.62,7.27,1.13,0.282,1792000000.0,0.1552,0.0762,0.0,27.12,3.72,0.0,27.12,54.05,0.01,0.0,8550519000,Companhia Energetica De Pernambuco B Pref Shs,7.29,0.0,742441,0,73,Utilidade Pública,Energia Elétrica,Energia Elétrica
112,CESP3,28.23,0.0649,0.1193,0.26,17.96,10.61,166072.0,1.01,0.2828,0.8893,-1.49,0.636,1148.22,16.23,5.16,1.31,4.592,7050480000.0,0.254,0.042,-1.1,28.23,5.47,27.92,27.92,36.9,27.11,27.92,8485717509,CESP Companhia Energetica de Sao Paulo,5.1,27.92,109167801,100,4723,Utilidade Pública,Energia Elétrica,Energia Elétrica
113,CESP5,37.02,0.0649,0.0701,0.26,23.01,13.59,16098.5,1.01,0.2828,0.8893,-1.96,0.834,1505.74,21.29,6.77,1.72,6.021,7050480000.0,0.254,0.042,0.0,37.02,5.47,0.0,37.02,60.0,29.02,0.0,8485717509,Companhia Energetica de Sao Paulo A Pref Shs,6.77,0.0,7386323,0,326,Utilidade Pública,Energia Elétrica,Energia Elétrica
114,CESP6,24.65,0.0649,0.1053,0.26,15.9,9.39,52214600.0,1.01,0.2828,0.8893,-1.3,0.555,1002.61,14.18,4.51,1.15,4.009,7050480000.0,0.254,0.042,-0.81,24.65,5.47,24.76,24.45,32.4,23.77,24.41,8485717509,Companhia Energetica de Sao Paulo B Pref Shs,4.47,24.64,210948549,628500,2038580,Utilidade Pública,Energia Elétrica,Energia Elétrica
115,CGAS3,162.0,0.1502,0.0524,6.58,14.24,11.72,20350.7,1.84,0.223,0.1529,-3.84,2.154,13.7,11.59,16.9,22.85,2.584,939704000.0,1.3522,0.2424,-1.23,162.0,9.56,160.0,160.0,195.0,128.06,160.0,20907749245,Companhia de Gas de Sao Paulo - COMGAS,16.73,160.0,103862768,100,146,Utilidade Pública,Gás,Gás
116,CGAS5,157.87,0.1502,0.0592,6.58,13.95,11.47,278789.0,1.84,0.223,0.1529,-3.74,2.099,13.35,11.29,16.46,22.26,2.518,939704000.0,1.3522,0.2424,-2.07,157.87,9.56,157.0,154.6,196.11,135.0,154.6,20907749245,Companhia de Gas de Sao Paulo - COMGAS Preference Shares,16.17,155.98,28657819,1300,1740,Utilidade Pública,Gás,Gás
117,CGRA3,34.0,0.0341,0.0385,0.0,10.7,8.22,36229.9,2.46,0.1089,0.1729,3.9,0.739,2.62,13.65,8.6,1.03,1.486,644564000.0,0.1202,0.074,0.0,34.0,3.81,34.0,34.0,43.0,25.25,34.0,672235096,Grazziotin SA,8.93,34.0,8091371,100,1013,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados
118,CGRA4,34.5,0.0341,0.0379,0.0,10.9,8.38,519324.0,2.46,0.1089,0.1729,3.96,0.75,2.66,13.85,8.72,1.05,1.508,644564000.0,0.1202,0.074,0.0,34.5,3.81,34.89,34.5,42.38,24.86,34.23,672235096,Grazziotin SA Preference Shares,9.07,34.89,11505332,2400,15926,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados
119,CIEL3,3.88,-0.1774,0.024,0.73,19.65,10.32,112583000.0,1.13,0.116,0.1219,-4.59,0.129,1.3,19.6,18.67,1.11,2.275,9516940000.0,0.0593,0.0397,-3.35,3.88,0.21,3.89,3.75,5.8,3.15,3.74,10188052500,Cielo SA,18.19,3.88,2716815061,17706500,28248903,Financeiro e Outros,Serviços Financeiros Diversos,Serviços Financeiros Diversos
120,CLSC3,70.02,0.1003,0.0452,0.92,5.18,3.86,18221.1,1.19,0.0767,0.0619,-0.61,0.256,4.26,3.8,4.71,1.24,0.291,2183800000.0,0.2628,0.0836,0.0,70.02,14.88,0.0,70.02,84.02,20.0,0.0,2684819552,Centrais Eletricas de Santa Catarina SA,4.71,0.0,15527137,0,353,Utilidade Pública,Energia Elétrica,Energia Elétrica
121,CLSC4,69.83,0.1003,0.0499,0.92,5.17,3.85,347368.0,1.19,0.0767,0.0619,-0.61,0.256,4.25,3.79,4.69,1.23,0.29,2183800000.0,0.2628,0.0836,-0.43,69.83,14.88,70.0,69.53,71.98,45.4,69.01,2684819552,Centrais Eletricas de Santa Catarina SA Preference Shares,4.67,69.99,23044454,1600,5463,Utilidade Pública,Energia Elétrica,Energia Elétrica
122,CMIG3,15.98,0.0823,0.0722,0.82,7.31,6.09,9790620.0,1.62,0.1883,0.1273,-1.32,0.51,4.83,5.47,8.09,1.51,1.03,17894900000.0,0.1868,0.1088,-2.5,15.98,1.95,15.83,15.58,17.29,9.09,15.5,4641233717,Companhia Energetica de Minas Gers CEMIG,8.01,15.76,566036634,125600,439583,Utilidade Pública,Energia Elétrica,Energia Elétrica
123,CMIG4,13.07,0.0823,0.0883,0.82,6.31,5.26,114321000.0,1.62,0.1883,0.1273,-1.08,0.418,3.95,4.47,6.62,1.24,0.842,17894900000.0,0.1868,0.1088,-2.68,13.07,1.95,12.97,12.72,14.03,8.92,12.69,4641233717,Companhia Energetica de Minas Gers CEMIG Preference Shares,6.54,12.94,1127325434,4824100,8599616,Utilidade Pública,Energia Elétrica,Energia Elétrica
124,CMIN3,9.44,0.0,0.0546,0.11,5.07,4.49,113844000.0,1.98,0.5496,0.3403,342.05,2.421,12.23,5.45,8.81,3.99,2.998,13244600000.0,0.4524,0.6423,-0.64,9.44,1.08,9.43,9.38,11.2,8.09,9.35,105003491039,CSN Mineracao SA,8.73,9.41,5591246138,1125300,12241450,Materiais Básicos,Mineração,Minerais Metálicos
125,COCE3,75.26,0.0935,0.0281,0.92,23.74,12.3,5249.62,1.09,0.0598,0.0449,-1.56,0.594,24.47,16.31,21.74,1.77,0.976,3307650000.0,0.0815,0.0425,0.0,75.26,3.46,0.0,75.26,85.0,38.51,0.0,5327910832,Companhia Energetica do Ceara - COELCE,21.74,0.0,48067937,0,83,Utilidade Pública,Energia Elétrica,Energia Elétrica
126,COCE5,59.56,0.0935,0.0355,0.92,20.34,10.53,1403410.0,1.09,0.0598,0.0449,-1.24,0.47,19.37,12.91,17.21,1.4,0.772,3307650000.0,0.0815,0.0425,0.49,59.56,3.46,60.87,59.85,68.99,49.9,59.68,5326130964,Companhia Energetica do Ceara - COELCE Preference Shares Series A,17.3,60.1,28252700,38300,27793,Utilidade Pública,Energia Elétrica,Energia Elétrica
127,COGN3,4.8,-0.0032,0.0,0.73,-27.9,57.65,175286000.0,0.87,-0.114,-1.2343,-1.25,0.302,-7.32,-16.65,-1.54,0.69,1.898,13127600000.0,-0.4462,-0.0212,-3.13,4.8,-3.16,4.79,4.65,9.96,3.42,4.62,8707451589,Cogna Educacao SA,0.0,4.79,1876606210,29037900,43596663,Consumo Cíclico,Diversos,Serviços Educacionais
128,CPFE3,28.79,0.1031,0.1147,1.31,8.66,6.9,56949400.0,0.99,0.1706,0.118,-1.48,0.637,-200.49,6.09,8.97,2.23,1.04,14867800000.0,0.2488,0.1255,-1.49,28.79,3.21,28.74,28.36,34.07,26.9,28.11,32712490356,CPFL Energia S.A.,8.84,28.72,1152254440,827900,1783546,Utilidade Pública,Energia Elétrica,Energia Elétrica
129,CPLE11,30.89,0.096,0.0,0.5,5.36,4.39,22311400.0,1.12,0.2262,0.2155,-1.04,0.358,13.75,3.84,4.05,0.88,0.869,19237500000.0,0.2172,0.1042,-0.87,30.89,0.0,31.24,30.62,32.72,27.94,30.41,3364986901,Cia Paranaense de Energia Unt Shs,0.0,31.0,0,229000,649483,Utilidade Pública,Energia Elétrica,Energia Elétrica
130,CPLE3,5.88,0.096,0.1497,0.5,5.18,4.23,12378000.0,1.12,0.2262,0.2155,-0.99,0.341,13.09,3.65,3.85,0.84,0.827,19237500000.0,0.2172,0.1042,-0.17,5.88,1.53,5.9,5.87,7.3,5.21,5.83,3364986901,Companhia Paranaense de Energia,3.84,5.88,1054090460,433200,2065130,Utilidade Pública,Energia Elétrica,Energia Elétrica
131,CPLE5,9.66,0.096,0.1316,0.5,7.53,6.16,104.74,1.12,0.2262,0.2155,-1.63,0.56,21.5,6.0,6.33,1.37,1.358,19237500000.0,0.2172,0.1042,13.87,9.66,1.53,11.0,11.0,11.0,4.0,10.99,3364986901,Companhia Paranaense de Energia Preference Shares,7.21,10.99,3128000,400,16,Utilidade Pública,Energia Elétrica,Energia Elétrica
132,CPLE6,6.27,0.096,0.1544,0.5,5.42,4.43,57406900.0,1.12,0.2262,0.2155,-1.06,0.363,13.96,3.9,4.11,0.89,0.881,19237500000.0,0.2172,0.1042,-0.8,6.27,1.53,6.26,6.22,7.68,5.73,6.18,3364986901,Cia Paranaense De Energia Copel Pref Shs,4.09,6.25,1679335290,2580300,7827463,Utilidade Pública,Energia Elétrica,Energia Elétrica
133,CRDE3,24.9,-0.3505,0.0,0.0,-4.48,-4.48,13990.1,2.74,-4.5745,-8.0232,5.54,0.507,3.89,-6.24,-3.55,0.57,28.541,105403000.0,-0.161,-0.0966,0.0,24.9,-7.01,0.0,24.9,28.79,18.2,0.0,60311610,CR2 Empreendimentos Imobiliarios SA,0.0,0.0,2422153,0,570,Consumo Cíclico,Construção Civil,Incorporações
134,CRFB3,21.65,0.1268,0.0329,0.58,10.27,8.4,86321400.0,1.03,0.0685,0.0461,-4.56,0.849,68.77,8.59,13.3,2.58,0.588,16644000000.0,0.1941,0.1245,-2.54,21.65,1.63,21.63,21.1,23.83,18.17,20.99,41260839745,Atacadao SA,12.99,21.63,1985292385,2072400,4243343,Consumo não Cíclico,Comércio e Distribuição,Alimentos
135,CRIV3,5.47,-0.0451,0.0,0.0,0.0,0.0,21125.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.75,0.57,0.0,992692000.0,0.0483,0.0,-1.83,5.47,0.53,5.38,5.37,8.78,5.0,5.37,595331612,Financeira Alfa SA Credt Fincmnt Invmtos,10.2,5.38,58736269,1000,3820,Financeiro e Outros,Intermediários Financeiros,Soc. Crédito e Financiamento
